,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
149,0.0125,0.735,0.481,0.00459,0.0984,-14.256,0.105,145.001,0.497
150,0.827,0.575,0.348,0.0,0.0819,-11.993,0.0269,70.866,0.174
151,0.435,0.461,0.936,9.13e-05,0.124,-6.866,0.109,172.404,0.804
152,0.00282,0.802,0.794,0.0,0.0927,-5.054,0.196,152.571,0.633
153,0.0711,0.465,0.735,0.0,0.0975,-3.715,0.117,173.935,0.409
154,0.000777,0.797,0.654,0.0,0.14,-6.946,0.248,80.007,0.464
155,0.897,0.684,0.215,0.456,0.105,-18.349,0.0379,120.255,0.324
156,0.0235,0.736,0.622,0.0,0.151,-4.653,0.133,191.971,0.506
157,0.151,0.674,0.64,0.0,0.0925,-5.139,0.0339,99.908,0.664
158,0.982,0.278,0.107,0.91,0.0908,-23.54,0.0445,143.23,0.107
159,0.000103,0.462,0.99,0.0,0.374,-3.175,0.211,137.061,0.204
160,0.0153,0.678,0.812,1.66e-06,0.604,-3.965,0.235,140.078,0.209
161,0.0281,0.922,0.909,0.0,0.0856,-2.429,0.27,95.295,0.309
162,0.116,0.439,0.752,0.0,0.133,-4.143,0.0375,166.051,0.456
163,0.147,0.755,0.599,0.0,0.109,-5.042,0.224,133.123,0.755
164,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,0.497
165,0.00952,0.588,0.877,0.0,0.171,-4.78,0.16,155.165,0.645
166,0.119,0.699,0.907,0.0,0.359,-3.022,0.383,97.091,0.699
167,0.0152,0.587,0.698,0.0,0.442,-8.948,0.0943,133.954,0.0985
168,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,118.881,0.947
169,0.0146,0.733,0.817,0.0,0.663,-4.763,0.22,148.022,0.512
170,0.0124,0.695,0.745,0.0,0.0863,-4.566,0.0292,105.01,0.484
171,0.028,0.633,0.471,4.42e-06,0.166,-9.284,0.282,129.17,0.375
172,0.141,0.78,0.68,1.2e-05,0.138,-6.081,0.0305,118.026,0.594
173,0.000249,0.269,0.853,0.000246,0.118,-4.647,0.0854,141.581,0.179
174,0.253,0.539,0.414,1.3e-06,0.143,-9.156,0.0601,94.895,0.123
175,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,110.171,0.113
176,0.849,0.444,0.287,2.82e-06,0.161,-10.631,0.0375,124.027,0.246
177,0.0174,0.729,0.545,0.000274,0.369,-7.818,0.0316,103.012,0.514
178,0.0411,0.568,0.835,0.0,0.357,-6.896,0.0687,170.045,0.625
179,0.00563,0.499,0.85,0.0,0.226,-5.372,0.0808,156.964,0.563
180,0.0549,0.564,0.714,0.0,0.155,-4.987,0.129,175.924,0.33
181,0.0576,0.497,0.489,9.91e-05,0.122,-7.724,0.294,171.853,0.231
182,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,0.788
183,0.00067,0.539,0.828,0.421,0.154,-9.108,0.035,105.25,0.562
184,0.0683,0.506,0.45,0.000225,0.103,-12.565,0.364,177.978,0.131
185,0.0362,0.824,0.733,0.0,0.325,-5.474,0.0613,97.972,0.395
186,0.694,0.705,0.609,0.0,0.234,-5.728,0.0729,140.058,0.718
187,0.895,0.518,0.411,0.0,0.0911,-7.896,0.0307,136.147,0.187
188,0.467,0.836,0.509,4.1e-06,0.0436,-13.668,0.0548,138.714,0.949
189,0.197,0.903,0.643,0.0,0.111,-5.669,0.0929,110.003,0.224
190,0.56,0.429,0.494,0.0,0.578,-7.399,0.0671,105.689,0.213
191,0.823,0.628,0.285,0.868,0.0972,-14.498,0.033,96.332,0.744
192,0.464,0.619,0.453,0.0,0.149,-7.697,0.0264,96.021,0.217
193,0.125,0.427,0.724,0.0,0.749,-4.751,0.0844,140.029,0.289
194,0.0695,0.694,0.663,0.0,0.566,-3.444,0.351,161.899,0.624
195,0.00139,0.592,0.937,1.74e-05,0.189,-4.905,0.0442,102.073,0.529
196,0.0866,0.539,0.866,0.00414,0.0953,-8.404,0.0483,130.345,0.761
197,0.505,0.403,0.237,0.0,0.209,-14.981,0.253,175.155,0.289
198,0.926,0.228,0.204,1.1e-05,0.092,-12.319,0.0387,83.372,0.195
199,0.0048,0.756,0.747,0.00536,0.588,-5.407,0.046,134.935,0.0687
200,0.0976,0.368,0.644,0.012,0.106,-4.343,0.0652,93.214,0.0398
201,0.88,0.743,0.0402,0.865,0.0981,-26.778,0.0396,120.07,0.15
202,0.0821,0.697,0.635,0.0,0.115,-6.509,0.0304,141.992,0.224
203,0.353,0.591,0.8,0.0,0.247,-4.956,0.286,139.472,0.592
204,0.175,0.208,0.996,0.907,0.822,-19.737,0.0438,80.67,0.0145
205,0.494,0.679,0.682,0.0558,0.0786,-7.096,0.0627,157.064,0.799
206,0.371,0.814,0.431,0.0,0.335,-9.125,0.0936,129.957,0.542
207,0.995,0.384,0.159,0.9,0.108,-29.755,0.0336,114.017,0.538
208,0.996,0.394,0.0275,0.902,0.121,-35.531,0.04,70.714,0.504
209,0.989,0.262,0.222,0.972,0.296,-19.946,0.0372,154.561,0.636
210,0.0522,0.66,0.693,0.0,0.153,-4.773,0.189,167.07,0.814
211,0.0522,0.66,0.693,0.0,0.153,-4.773,0.189,167.07,0.814
212,0.0942,0.916,0.756,0.0,0.23,-7.653,0.188,115.69,0.756
213,0.0958,0.572,0.787,0.0,0.088,-6.886,0.0776,154.024,0.289
214,0.0139,0.545,0.781,0.0,0.161,-3.616,0.185,150.097,0.277
215,0.0251,0.575,0.411,0.0693,0.0751,-11.142,0.0722,215.09,0.462
216,0.283,0.472,0.861,0.0,0.83,-3.966,0.0447,144.077,0.358
217,0.088,0.931,0.387,0.0,0.136,-9.127,0.412,125.978,0.376
218,0.105,0.738,0.85,0.0,0.23,-3.049,0.0642,98.013,0.865
219,0.461,0.573,0.683,0.0,0.0935,-6.644,0.176,169.519,0.817
220,0.67,0.64,0.621,0.0,0.36,-8.269,0.0679,123.105,0.332
221,0.239,0.589,0.727,0.0277,0.164,-6.907,0.0866,152.058,0.52
222,0.867,0.343,0.339,3.75e-06,0.109,-9.282,0.0283,103.504,0.404
223,0.123,0.696,0.454,0.0,0.155,-6.756,0.153,92.928,0.136
224,0.17,0.94,0.335,0.0,0.262,-10.179,0.505,120.04,0.707
225,0.17,0.461,0.593,0.0,0.307,-4.954,0.0356,134.17,0.175
